,0,1
10,"[1.09832016580728, 1.1696710916652586, -1.0639422615146605, -2.4836806535264255, 1.09832016580728, 1.1696710916652586, -1.0639422615146605, -2.4836806535264255, 1.09832016580728, 1.1696710916652586, -1.0639422615146605, -2.4836806535264255, 1.09832016580728, 1.1696710916652586, -1.0639422615146605, -2.4836806535264255, 1.09832016580728, 1.1696710916652586, -1.0639422615146605, -2.4836806535264255, 1.09832016580728, 1.1696710916652586, -1.0639422615146605, -2.4836806535264255, 1.09832016580728, 1.1696710916652586, -1.0639422615146605, -2.4836806535264255, 1.09832016580728, 1.1696710916652586, -1.0639422615146605, -2.4836806535264255, 1.09832016580728, 1.1696710916652586, -1.0639422615146605, -2.4836806535264255, 1.09832016580728, 1.1696710916652586, -1.0639422615146605, -2.4836806535264255]",[20.75]
11,"[-2.6272016358236527, -2.2430194646852026, -15.63492870154045, -7.606271391798421, -2.6272016358236527, -2.2430194646852026, -15.63492870154045, -7.606271391798421, -2.6272016358236527, -2.2430194646852026, -15.63492870154045, -7.606271391798421, -2.6272016358236527, -2.2430194646852026, -15.63492870154045, -7.606271391798421, -2.6272016358236527, -2.2430194646852026, -15.63492870154045, -7.606271391798421, -2.6272016358236527, -2.2430194646852026, -15.63492870154045, -7.606271391798421, -2.6272016358236527, -2.2430194646852026, -15.63492870154045, -7.606271391798421, -2.6272016358236527, -2.2430194646852026, -15.63492870154045, -7.606271391798421, -2.6272016358236527, -2.2430194646852026, -15.63492870154045, -7.606271391798421, -2.6272016358236527, -2.2430194646852026, -15.63492870154045, -7.606271391798421]",[113.85]
12,"[0.9450611374957418, 0.0732447183510998, 10.214738935861593, 4.994647293309534, 0.9450611374957418, 0.0732447183510998, 10.214738935861593, 4.994647293309534, 0.9450611374957418, 0.0732447183510998, 10.214738935861593, 4.994647293309534, 0.9450611374957418, 0.0732447183510998, 10.214738935861593, 4.994647293309534, 0.9450611374957418, 0.0732447183510998, 10.214738935861593, 4.994647293309534, 0.9450611374957418, 0.0732447183510998, 10.214738935861593, 4.994647293309534, 0.9450611374957418, 0.0732447183510998, 10.214738935861593, 4.994647293309534, 0.9450611374957418, 0.0732447183510998, 10.214738935861593, 4.994647293309534, 0.9450611374957418, 0.0732447183510998, 10.214738935861593, 4.994647293309534, 0.9450611374957418, 0.0732447183510998, 10.214738935861593, 4.994647293309534]",[36.08]
13,"[-1.2888868416589578, -0.9881061521165706, -8.215735284390863, -6.083163495537761, -1.2888868416589578, -0.9881061521165706, -8.215735284390863, -6.083163495537761, -1.2888868416589578, -0.9881061521165706, -8.215735284390863, -6.083163495537761, -1.2888868416589578, -0.9881061521165706, -8.215735284390863, -6.083163495537761, -1.2888868416589578, -0.9881061521165706, -8.215735284390863, -6.083163495537761, -1.2888868416589578, -0.9881061521165706, -8.215735284390863, -6.083163495537761, -1.2888868416589578, -0.9881061521165706, -8.215735284390863, -6.083163495537761, -1.2888868416589578, -0.9881061521165706, -8.215735284390863, -6.083163495537761, -1.2888868416589578, -0.9881061521165706, -8.215735284390863, -6.083163495537761, -1.2888868416589578, -0.9881061521165706, -8.215735284390863, -6.083163495537761]",[39.74]
14,"[-2.4615327905030187, -0.20446984006426439, -15.584267775894162, 9.984071252093965, -2.4615327905030187, -0.20446984006426439, -15.584267775894162, 9.984071252093965, -2.4615327905030187, -0.20446984006426439, -15.584267775894162, 9.984071252093965, -2.4615327905030187, -0.20446984006426439, -15.584267775894162, 9.984071252093965, -2.4615327905030187, -0.20446984006426439, -15.584267775894162, 9.984071252093965, -2.4615327905030187, -0.20446984006426439, -15.584267775894162, 9.984071252093965, -2.4615327905030187, -0.20446984006426439, -15.584267775894162, 9.984071252093965, -2.4615327905030187, -0.20446984006426439, -15.584267775894162, 9.984071252093965, -2.4615327905030187, -0.20446984006426439, -15.584267775894162, 9.984071252093965, -2.4615327905030187, -0.20446984006426439, -15.584267775894162, 9.984071252093965]",[111.73]
15,"[0.43269709954690905, -1.4152080086907357, -0.10503653858003781, 4.252547776129074, 0.43269709954690905, -1.4152080086907357, -0.10503653858003781, 4.252547776129074, 0.43269709954690905, -1.4152080086907357, -0.10503653858003781, 4.252547776129074, 0.43269709954690905, -1.4152080086907357, -0.10503653858003781, 4.252547776129074, 0.43269709954690905, -1.4152080086907357, -0.10503653858003781, 4.252547776129074, 0.43269709954690905, -1.4152080086907357, -0.10503653858003781, 4.252547776129074, 0.43269709954690905, -1.4152080086907357, -0.10503653858003781, 4.252547776129074, 0.43269709954690905, -1.4152080086907357, -0.10503653858003781, 4.252547776129074, 0.43269709954690905, -1.4152080086907357, -0.10503653858003781, 4.252547776129074, 0.43269709954690905, -1.4152080086907357, -0.10503653858003781, 4.252547776129074]",[19.43]
16,"[-2.8900260970760994, -2.319377621760944, 0.7517680079591127, -2.7986985786986796, -2.8900260970760994, -2.319377621760944, 0.7517680079591127, -2.7986985786986796, -2.8900260970760994, -2.319377621760944, 0.7517680079591127, -2.7986985786986796, -2.8900260970760994, -2.319377621760944, 0.7517680079591127, -2.7986985786986796, -2.8900260970760994, -2.319377621760944, 0.7517680079591127, -2.7986985786986796, -2.8900260970760994, -2.319377621760944, 0.7517680079591127, -2.7986985786986796, -2.8900260970760994, -2.319377621760944, 0.7517680079591127, -2.7986985786986796, -2.8900260970760994, -2.319377621760944, 0.7517680079591127, -2.7986985786986796, -2.8900260970760994, -2.319377621760944, 0.7517680079591127, -2.7986985786986796, -2.8900260970760994, -2.319377621760944, 0.7517680079591127, -2.7986985786986796]",[62.76]
17,"[2.1816404280491772, 1.7284933635794886, -15.1549110697027, -10.41046860174349, 2.1816404280491772, 1.7284933635794886, -15.1549110697027, -10.41046860174349, 2.1816404280491772, 1.7284933635794886, -15.1549110697027, -10.41046860174349, 2.1816404280491772, 1.7284933635794886, -15.1549110697027, -10.41046860174349, 2.1816404280491772, 1.7284933635794886, -15.1549110697027, -10.41046860174349, 2.1816404280491772, 1.7284933635794886, -15.1549110697027, -10.41046860174349, 2.1816404280491772, 1.7284933635794886, -15.1549110697027, -10.41046860174349, 2.1816404280491772, 1.7284933635794886, -15.1549110697027, -10.41046860174349, 2.1816404280491772, 1.7284933635794886, -15.1549110697027, -10.41046860174349, 2.1816404280491772, 1.7284933635794886, -15.1549110697027, -10.41046860174349]",[110.5]
18,"[0.07980864438394608, -0.8748583519888045, -9.554624267417665, 1.140125504511917, 0.07980864438394608, -0.8748583519888045, -9.554624267417665, 1.140125504511917, 0.07980864438394608, -0.8748583519888045, -9.554624267417665, 1.140125504511917, 0.07980864438394608, -0.8748583519888045, -9.554624267417665, 1.140125504511917, 0.07980864438394608, -0.8748583519888045, -9.554624267417665, 1.140125504511917, 0.07980864438394608, -0.8748583519888045, -9.554624267417665, 1.140125504511917, 0.07980864438394608, -0.8748583519888045, -9.554624267417665, 1.140125504511917, 0.07980864438394608, -0.8748583519888045, -9.554624267417665, 1.140125504511917, 0.07980864438394608, -0.8748583519888045, -9.554624267417665, 1.140125504511917, 0.07980864438394608, -0.8748583519888045, -9.554624267417665, 1.140125504511917]",[35.54]
19,"[2.4589503584119132, -0.18458813076590586, 24.92560232846221, -16.28014675355734, 2.4589503584119132, -0.18458813076590586, 24.92560232846221, -16.28014675355734, 2.4589503584119132, -0.18458813076590586, 24.92560232846221, -16.28014675355734, 2.4589503584119132, -0.18458813076590586, 24.92560232846221, -16.28014675355734, 2.4589503584119132, -0.18458813076590586, 24.92560232846221, -16.28014675355734, 2.4589503584119132, -0.18458813076590586, 24.92560232846221, -16.28014675355734, 2.4589503584119132, -0.18458813076590586, 24.92560232846221, -16.28014675355734, 2.4589503584119132, -0.18458813076590586, 24.92560232846221, -16.28014675355734, 2.4589503584119132, -0.18458813076590586, 24.92560232846221, -16.28014675355734, 2.4589503584119132, -0.18458813076590586, 24.92560232846221, -16.28014675355734]",[213.47]
